MW413895	1	34
MW413895	2	383
MW413895	3	531
MW413895	4	595
MW413895	5	622
MW413895	6	657
MW413895	7	683
MW413895	8	707
MW413895	9	755
MW413895	10	811
MW413895	11	1299
MW413895	12	1302
MW413895	13	1005
MW413895	14	948
MW413895	15	955
MW413895	16	978
MW413895	17	990
MW413895	18	1017
MW413895	19	1109
MW413895	20	1478
MW413895	21	1439
MW413895	22	1432
MW413895	23	1502
MW413895	24	1303
MW413895	25	1312
MW413895	26	1321
MW413895	27	1307
MW413895	28	1288
MW413895	29	1193
MW413895	30	1151
MW413895	31	1151
MW413895	32	1156
MW413895	33	1144
MW413895	34	1074
MW413895	35	955
MW413895	36	905
MW413895	37	805
MW413895	38	755
MW413895	39	633
MW413895	40	429
MW413895	41	397
MW413895	42	385
MW413895	43	384
MW413895	44	432
MW413895	45	532
MW413895	46	609
MW413895	47	622
MW413895	48	597
MW413895	49	535
MW413895	50	563
MW413895	51	645
MW413895	52	607
MW413895	53	682
MW413895	54	621
MW413895	55	588
MW413895	56	503
MW413895	57	598
MW413895	58	1414
MW413895	59	1421
MW413895	60	1444
MW413895	61	1489
MW413895	62	1506
MW413895	63	1357
MW413895	64	1318
MW413895	65	1301
MW413895	66	1291
MW413895	67	1253
MW413895	68	387
MW413895	69	425
MW413895	70	420
MW413895	71	357
MW413895	72	444
MW413895	73	486
MW413895	74	781
MW413895	75	866
MW413895	76	1369
MW413895	77	1721
MW413895	78	1737
MW413895	79	1736
MW413895	80	2163
MW413895	81	2141
MW413895	82	2038
MW413895	83	2009
MW413895	84	1770
MW413895	85	1699
MW413895	86	1523
MW413895	87	842
MW413895	88	805
MW413895	89	783
MW413895	90	709
MW413895	91	1000
MW413895	92	1424
MW413895	93	1588
MW413895	94	1702
MW413895	95	1715
MW413895	96	1718
MW413895	97	1718
MW413895	98	1725
MW413895	99	1771
MW413895	100	1446
MW413895	101	1313
MW413895	102	738
MW413895	103	1022
MW413895	104	1833
MW413895	105	1829
MW413895	106	1826
MW413895	107	1833
MW413895	108	1838
MW413895	109	1840
MW413895	110	1785
MW413895	111	1797
MW413895	112	1783
MW413895	113	1602
MW413895	114	544
MW413895	115	370
MW413895	116	366
MW413895	117	364
MW413895	118	444
MW413895	119	503
MW413895	120	608
MW413895	121	663
MW413895	122	745
MW413895	123	724
MW413895	124	666
MW413895	125	651
MW413895	126	648
MW413895	127	637
MW413895	128	603
MW413895	129	517
MW413895	130	403
MW413895	131	319
MW413895	132	190
MW413895	133	160
MW413895	134	195
MW413895	135	248
MW413895	136	351
MW413895	137	459
MW413895	138	487
MW413895	139	517
MW413895	140	522
MW413895	141	527
MW413895	142	532
MW413895	143	534
MW413895	144	488
MW413895	145	432
MW413895	146	318
MW413895	147	201
MW413895	148	160
MW413895	149	136
MW413895	150	125
MW413895	151	123
MW413895	152	115
MW413895	153	98
MW413895	154	93
MW413895	155	84
MW413895	156	94
MW413895	157	92
MW413895	158	90
MW413895	159	79
MW413895	160	79
MW413895	161	75
MW413895	162	86
MW413895	163	99
MW413895	164	173
MW413895	165	214
MW413895	166	225
MW413895	167	272
MW413895	168	307
MW413895	169	363
MW413895	170	480
MW413895	171	516
MW413895	172	531
MW413895	173	518
MW413895	174	518
MW413895	175	465
MW413895	176	460
MW413895	177	428
MW413895	178	423
MW413895	179	379
MW413895	180	323
MW413895	181	234
MW413895	182	217
MW413895	183	203
MW413895	184	169
MW413895	185	144
MW413895	186	207
MW413895	187	283
MW413895	188	343
MW413895	189	389
MW413895	190	399
MW413895	191	422
MW413895	192	451
MW413895	193	496
MW413895	194	507
MW413895	195	513
MW413895	196	540
MW413895	197	593
MW413895	198	483
MW413895	199	412
MW413895	200	441
MW413895	201	442
MW413895	202	426
MW413895	203	515
MW413895	204	554
MW413895	205	696
MW413895	206	818
MW413895	207	762
MW413895	208	778
MW413895	209	822
MW413895	210	791
MW413895	211	823
MW413895	212	754
MW413895	213	654
MW413895	214	615
MW413895	215	494
MW413895	216	358
MW413895	217	296
MW413895	218	283
MW413895	219	218
MW413895	220	220
MW413895	221	313
MW413895	222	314
MW413895	223	343
MW413895	224	348
MW413895	225	353
MW413895	226	376
MW413895	227	462
MW413895	228	696
MW413895	229	769
MW413895	230	774
MW413895	231	718
MW413895	232	744
MW413895	233	736
MW413895	234	777
MW413895	235	813
MW413895	236	896
MW413895	237	1970
MW413895	238	1775
MW413895	239	1779
MW413895	240	1790
MW413895	241	1869
MW413895	242	1818
